cv_fold_1_rep_1	cv_fold_2_rep_1	cv_fold_3_rep_1	cv_fold_4_rep_1	cv_fold_5_rep_1	cv_fold_6_rep_1	cv_fold_7_rep_1	cv_fold_8_rep_1	cv_fold_9_rep_1	cv_fold_10_rep_1	cv_fold_1_rep_2	cv_fold_2_rep_2	cv_fold_3_rep_2	cv_fold_4_rep_2	cv_fold_5_rep_2	cv_fold_6_rep_2	cv_fold_7_rep_2	cv_fold_8_rep_2	cv_fold_9_rep_2	cv_fold_10_rep_2	cv_fold_1_rep_3	cv_fold_2_rep_3	cv_fold_3_rep_3	cv_fold_4_rep_3	cv_fold_5_rep_3	cv_fold_6_rep_3	cv_fold_7_rep_3	cv_fold_8_rep_3	cv_fold_9_rep_3	cv_fold_10_rep_3	cv_fold_1_rep_4	cv_fold_2_rep_4	cv_fold_3_rep_4	cv_fold_4_rep_4	cv_fold_5_rep_4	cv_fold_6_rep_4	cv_fold_7_rep_4	cv_fold_8_rep_4	cv_fold_9_rep_4	cv_fold_10_rep_4	cv_fold_1_rep_5	cv_fold_2_rep_5	cv_fold_3_rep_5	cv_fold_4_rep_5	cv_fold_5_rep_5	cv_fold_6_rep_5	cv_fold_7_rep_5	cv_fold_8_rep_5	cv_fold_9_rep_5	cv_fold_10_rep_5	cv_fold_1_rep_6	cv_fold_2_rep_6	cv_fold_3_rep_6	cv_fold_4_rep_6	cv_fold_5_rep_6	cv_fold_6_rep_6	cv_fold_7_rep_6	cv_fold_8_rep_6	cv_fold_9_rep_6	cv_fold_10_rep_6	cv_fold_1_rep_7	cv_fold_2_rep_7	cv_fold_3_rep_7	cv_fold_4_rep_7	cv_fold_5_rep_7	cv_fold_6_rep_7	cv_fold_7_rep_7	cv_fold_8_rep_7	cv_fold_9_rep_7	cv_fold_10_rep_7	cv_fold_1_rep_8	cv_fold_2_rep_8	cv_fold_3_rep_8	cv_fold_4_rep_8	cv_fold_5_rep_8	cv_fold_6_rep_8	cv_fold_7_rep_8	cv_fold_8_rep_8	cv_fold_9_rep_8	cv_fold_10_rep_8	cv_fold_1_rep_9	cv_fold_2_rep_9	cv_fold_3_rep_9	cv_fold_4_rep_9	cv_fold_5_rep_9	cv_fold_6_rep_9	cv_fold_7_rep_9	cv_fold_8_rep_9	cv_fold_9_rep_9	cv_fold_10_rep_9	cv_fold_1_rep_10	cv_fold_2_rep_10	cv_fold_3_rep_10	cv_fold_4_rep_10	cv_fold_5_rep_10	cv_fold_6_rep_10	cv_fold_7_rep_10	cv_fold_8_rep_10	cv_fold_9_rep_10	cv_fold_10_rep_10
motu_linkage_group_113	-0.163615567482825	-0.721225102380429	0.0402744692028674	0.13655559968044	-0.193979264968729	-0.483926541855627	0.210827290841968	-0.198227301735102	-0.751768385646438	-0.115782989009719	0.0791015258102171	0.0236847030722726	-0.165021104215294	-0.10807173403522	0.371552927635757	-0.434867660141834	-0.221278644315018	0.096294583596159	-0.13243277774176	-0.265743045215203	-0.075029758556354	-0.360343185092041	-0.0535276691721914	-0.258468719749237	0.0331359757683192	-0.122441373155577	-0.351496209705928	-0.00576397565170961	-0.28968828992401	-0.300367550759383	-0.418084074357423	0.0292017577323482	0.152563906167959	-0.0467483735148739	-0.491784546944288	-0.0471273871600092	-0.46295183127748	-0.34944377462569	0.107508400596796	-0.484318642240912	-0.455646632077213	-0.138923529785785	-0.0875604645812259	-0.055590623739658	-0.399282006801667	-0.359049038629697	-0.109008878695582	-0.0791684370394424	-1.00533037329578	0.221727246091421	0.0939943617020789	0.0213727253886274	-0.0692008186971243	-0.265610242319078	-0.373329226323194	-0.0547278044015542	-0.270204545838818	-0.0435679180541256	0.0387907378053656	-0.289614652844501	-0.0423450349541071	-0.160354237160994	-0.340144717879168	-0.25850178204039	-0.25411034821593	-0.257053417266798	-0.0700531933820354	-0.284476599108164	-0.0928394341691393	0.0660306950829168	-0.0949755502987082	-0.156850902836972	-0.0428942856001953	-0.0747371723255504	-0.120795637317644	-0.190128143790658	-0.232737505133756	-0.0403440583985977	-0.0313198950475163	-0.638777122485646	-0.2554559933581	0.0656066928637425	-0.199831426911173	-0.145209186152511	-0.266167940826642	-0.305592668974525	-0.38533702032114	-0.036960981105516	0.100526398504594	-0.0388112115890207	-0.172238592136658	-0.134418156236215	-0.435170177203214	-0.145231168760512	-0.0378896693436096	0.254492896015524	-0.255328425631538	0.0855870449867977	-0.584368473335757	-0.126449514281437
Akkermansia_muciniphila	27.4446628083183	38.0809060492264	30.2757271917469	58.5157348112731	35.7152171234224	59.8597590534227	46.8972011837332	59.589463110674	48.2441223910302	39.2470949907394	6.41000205760856	44.7639512695303	31.5747748652913	11.2392941652553	51.3239587423879	24.3574752661608	74.934609091336	24.1923146942479	23.0893266354784	21.2321292380107	27.8179978755659	53.8287868104545	55.8117517658952	41.5459252802455	33.8108118429071	12.2344597243571	26.7976478920248	39.2805005476425	28.5033608094621	63.0535707493128	24.6217007355722	33.2376213530067	22.1933096064491	11.6053082246714	37.3288739041552	47.9015824106907	40.774844806286	49.9053073397833	26.0827906228797	36.5041357249688	34.3288144377159	22.0871810469848	7.80934281864849	56.2880084078354	33.0759930706481	50.2208939053484	24.6963609850377	35.2600406093286	64.4265939572917	59.6529321068783	50.4483847007238	72.8611010761541	15.5817525299406	49.3458013319163	29.9053091119866	32.0894627504643	33.0772346809385	17.1466578974979	18.0825497376213	40.9515929808549	20.8136719128343	24.6040164262	36.0923005238803	26.9799499509868	54.169103427232	49.13153366803	53.041904421497	45.1857231891418	19.4993174301678	3.88026032419628	14.5647881345158	40.0518619384822	35.6138579778467	15.5272730150541	11.3467327136614	25.6177120762911	34.7266949819838	61.6039863490716	13.223080397137	60.204631942747	40.6723203672247	15.1015178054828	19.5050090402257	15.5404886611911	46.5058891388876	50.5287846328353	43.9142430552304	21.1123670317058	9.21970955591552	12.0430355681486	30.8117296694634	28.9066537470442	41.0368514574879	17.3874425462825	19.600010971418	30.7603888619229	21.4523799610109	14.270370283314	46.3830611648231	33.7900287720903
motu_linkage_group_348	0	-11.1553697597307	0	-42.7091124567005	-27.9225314213989	-20.5814270512699	-55.4961161094897	-38.0769317169786	-54.9775923193974	-2.80384449384199	0	-22.65937792762	0	0	-50.3442817481725	0	-41.9734178722268	0	-7.74495951735543	0	0	-27.241369856034	-19.7038024161871	-35.7949630025123	-9.54935266298512	0	0	-48.5670184559109	-1.40316527014517	-60.4046838755277	0	-6.94896712392635	0	0	-18.2917447621516	-3.040465710503	-10.6076430211898	-14.4387829999927	-14.4311043009009	-20.9275466460353	-10.5486578910246	0	0	-34.0616338389944	0	-42.4086689005273	0	-13.6425511880979	-46.5969915569199	-40.6164111171276	-65.3340377504442	-88.580959217314	0	-4.13421882654856	0	-0.145007633122484	-1.19126725003591	0	0	-14.8836689554775	-16.8073842733957	0	0	-4.24976079234884	-29.383793803102	0	-22.5506003394733	-27.3849455574714	0	0	0	-31.5053800711524	-22.900721275206	0	0	-1.8287834555111	0	-45.4070417605494	0	-36.1140411796082	-29.3451937082149	0	0	0	-4.54418216444251	-40.3114296575208	-1.47425042852321	-7.52710971618022	0	0	-0.148870129706419	0	-16.0113515482471	0	0	-47.4881111276852	0	0	-39.9289110889302	-33.7951230848495
Eubacterium_siraeum	0	10.7493836113025	3.18206578240144	0	2.92481618119338	3.62561063281357	7.72206233687557	0	0	0	0	7.31760378383117	0	0	8.94204047890295	0	0	0.882172257505115	0	0.798166412335553	2.0249204766017	0	6.55606019591616	2.8938235912081	3.34029016778161	0	0	2.21523045372916	3.4828143980799	0	0	5.95271453077471	0	0	6.45233436997647	1.96962307779011	0.206724186344823	1.74816881096321	2.39195848271766	1.63133051391421	3.87549373292686	0	0	0	5.35740465597782	14.7329249409209	0	4.0220548134609	0	0	0	0	1.36261208151504	7.023247141002	0	0.178253469126506	5.57205507688888	1.15261362528565	0	0	0.838021237644917	7.1056120598668	4.35182654305	0	7.54077813344433	0.928915999059302	0	0.587006877208571	0	0	1.0794275210652	5.77679455666715	2.6797753251441	0	0	2.9641844252185	2.36034904387396	11.1204632255865	0	0	3.89062645856322	0	0	0	0.836090025412709	2.51334178438983	2.77026531437359	3.40637237759995	0	0	3.57710467431386	2.63659883699338	0	0	0	2.84211357854024	0.618274917043826	1.33611082593911	0	0
Clostridium_perfringens	0	0	14.3559694684573	9.56982635275313	15.1110456629709	30.2340931847918	36.3921571325549	1.79363000343335	0	22.0122574839587	0.543433346190501	0	6.11472296302829	0	0.350842034513457	9.91687798040728	32.8015296349952	1.19164903374959	26.7060136448263	0	10.2351508384199	22.061354004378	0	30.0201096286865	0.130048915737959	8.73286932389427	0	47.5153662898673	12.7089726465304	40.6013526205622	13.1508593989504	11.7476326328635	0	0	0	23.7638061569915	46.1910161248931	24.5855892779447	10.7187017311969	14.0200819625646	0	14.1480766590986	10.0157083746872	39.084028410346	0	2.70247867272784	0	32.3897186567258	0	3.43036880891519	0	30.2635690647764	13.8115587086483	2.25936064096691	13.7267811785617	19.7359082335386	14.8670751578947	0	4.75600426221554	8.04152523336438	0	6.30506113378583	12.5984194634251	11.3653352151223	39.1107873988217	0	16.2868069771546	25.7936467005134	5.23418346771012	0	7.44479670500596	0	0	5.32031885145526	6.55197647780103	0	7.38778363848135	19.6350129234505	7.9114512635455	10.3326981572377	0	0	3.396717425939	3.84840440779282	3.56339920063558	32.530035646971	12.979015758244	0	1.77660179490201	0	6.66835264960536	12.9014169766611	17.5513696761637	0.469437951170317	8.95815640434286	11.2836925908444	14.2184014565164	20.7863320807653	0	0
motu_linkage_group_192	-23.8465760532812	-418.860769234607	0	-510.72544512371	0	-248.292945100472	-329.545270523763	0	-371.517902525103	-2253.87657911137	0	-2170.06324009767	-72.4616237433471	0	-599.572545200649	-7.01873466792386	0	0	-99.283264714646	0	-47.629085813157	0	-255.642110318755	-179.864662827887	-162.364210399485	0	0	-522.592951316568	-3.11990721719466	-3580.57359318841	-10.3680516462954	-87.307635005525	-26.2641899819388	0	-657.852196273551	0	-115.754527083408	0	-1856.32380890303	-193.032526867911	-135.51468855466	-504.742263920255	0	-138.412642152817	-173.021823121984	-260.625621350771	0	-165.366043589071	0	-357.235542373005	-368.095261065222	-642.403655082211	-16.7183541092612	0	-24.1014483073229	-124.198808868811	-2194.44915268399	0	-29.7796841675638	-237.762134557567	0	-1752.48176811718	-137.697527877421	-71.6026382326542	-472.311695470265	-314.387579156036	0	-183.978417966595	-75.7264096578217	0	0	-265.037862775374	-9.91781661154574	0	0	0	0	-351.568340303121	0	-2714.65463143633	0	0	0	0	-2649.21331436103	-387.549854838268	-177.930366496038	0	0	0	0	-1309.91127710636	-88.3365172385011	0	0	-10.9559566148533	-0.735858027493329	0	-533.533662609996	-295.534313522224
motu_linkage_group_49	2144.06500056547	3239.03557084812	1748.90323960643	1680.065556646	3612.1088125286	2079.15941027033	2991.95953774058	3413.94181635054	5445.95723383378	2235.1595106406	1046.38327544971	3460.67155387353	1952.01997429342	1114.17025654377	1513.52649666511	2319.39469151325	4609.59721810034	1250.06719321149	2193.72214661003	1549.06944485487	1602.53091545906	3796.99443469654	2480.76374102911	3125.9488529127	1743.82113574398	1503.97455228542	2040.6980918874	3710.25123619351	1700.89250577091	10696.1593578962	1730.89580576278	2576.66524141347	1794.12838123313	1555.70022931568	2188.71788503087	1461.46538457416	3401.53316577436	2110.03308960749	2652.53087385548	1771.71169134548	3310.27766755061	1809.21772936306	1405.66860262132	2267.92241042478	1563.64368137749	4146.97431127352	1670.62155967573	2389.24062050916	2738.00635666729	3902.06410647596	4178.40007198906	5664.98782401278	1455.598757702	2372.18680671084	1388.16246356167	1371.79925207222	1921.63765429123	1668.51691186669	1663.0946686216	2996.41462013991	2574.59716353584	1943.93168029314	1236.74722697623	912.029463873738	2072.81754624426	2099.86937714478	3383.74693974102	3472.07666300525	1842.71158531684	633.311028536589	1109.86994483864	4048.42716268121	2839.89939525948	1309.27141510804	1467.18378614753	1396.05981464898	1918.74773930183	4488.422084292	1317.87220465203	3268.84866010619	2007.27685541481	1154.1963394121	1035.59804263671	1981.6328594523	1835.83034098717	2864.39479732315	2390.07772165157	1734.35506098687	1523.08896295248	1042.78409583091	1978.26611724905	2408.24952799269	2550.10151668858	821.872268346909	1742.64111772838	2284.06792989337	1508.05985121254	1302.00389698606	2825.89033720354	1820.0408705168
Streptococcus_vestibularis	781.617755494894	164.796255864625	0	367.941606992476	701.754309267259	1420.22996503827	919.365564287974	0	0	135.402555705343	0	0	422.86473229526	0	0	0	188.14304071017	325.064772914483	0	0	0	128.702428466987	794.595439930072	0	480.690496466327	0	0	551.066537065707	0	1000.79068987684	194.419821519748	409.109054322697	0	0	1157.3124979148	0	1177.32947621121	257.322870593913	256.776804460193	362.365033613769	0	0	0	419.931451751404	310.597743681486	2053.70840057921	181.149718948965	224.161923392895	0	30.6806627742487	0	482.28317451702	0	243.27357445493	385.565394144736	0	151.778613581322	0	75.2489067315065	628.349582739194	0	0	0	788.826432595695	836.851830014372	177.860567971539	314.841558724068	0	0	0	0	560.20425248094	0	0	0	1064.06887555026	168.836023368305	527.446561401826	0	0	483.707406196327	0	0	0	590.515953410465	1166.41396658238	582.412088030097	0	0	0	0	0	650.064217801131	0	0	199.768012091465	60.0164482581316	109.668265096322	0	979.134668974354
motu_linkage_group_14	1818.35486437789	2964.70509749066	1720.82076235294	3325.91365644142	1993.36425098113	4554.12386708496	2644.45350402943	2961.68814384448	2379.85291132558	1620.0793381242	291.490666334555	2078.26952754043	1493.43478524128	399.03954132754	4258.96647566379	682.944590713184	2885.79874614826	1527.90601432048	2172.64784734305	958.912686616856	1428.12155212147	2249.13339166915	2793.20888645968	4999.27744599881	1717.0685253575	1070.09455687048	1174.84513612525	2208.04619750053	1296.98729979877	1562.79316806714	1237.63217777202	2313.0816711784	603.73186879292	727.391233028073	2549.08901795103	4343.41635728815	1653.91395028952	2308.69729449724	1336.79502786098	1773.86610513622	1811.63626278579	847.211746821547	1166.32774410423	2461.86289494958	2187.11179595961	1796.69324534202	1059.02759632881	1862.15063452697	2790.62817956838	2792.05623555028	3369.69454622906	1906.6726707246	1022.33865058605	2567.94294899514	1498.10943969067	1028.06085865561	2598.13294010636	634.981352187517	952.097859682012	1156.03174559438	1184.52819630888	1133.75140899272	1685.74365259751	1324.8426169017	4100.21283550879	2475.01073027118	2127.53739389136	1435.65987799214	1055.13444338039	369.031929248311	757.008126772329	1778.02581597939	3168.23863943637	585.744329523836	1033.10030340206	1281.14130167525	1547.63011135026	1818.33723806815	527.750936377757	2909.73192782946	2410.41754026311	587.064779659246	989.698705554501	1062.61785934605	1898.9581207018	3045.66819761804	1841.7380706965	941.887450757084	448.60602497104	665.512446666583	1864.03651077508	1301.11254317053	2198.83054887634	813.150526113379	486.241328543004	1705.35236305204	1010.39623971306	1201.0546769724	2463.66045328507	2173.2459991423
Bifidobacterium_longum	-153.187552891442	-209.108749568234	-232.490647899531	-318.070151099908	-230.629596970269	-389.864550805835	-233.554447521398	-344.159803491387	-464.813009578074	-138.199318302482	-31.3218147863653	-201.639504475546	-148.583757153083	-57.5544539394519	-324.882474961869	0	-353.976983993508	-145.543396074096	-111.924033666375	-128.16503093862	-164.161112555337	-467.231653728993	-283.350083088733	0	-222.498645032697	-138.349781585803	-132.257322614254	-266.957579608381	-185.987907324096	-358.694224285504	-131.283157317449	-253.425064969295	-180.924712079228	0	-260.732841608371	-117.626305288794	-264.339015232205	-256.448484716596	-141.480317291209	-266.532730860638	-188.333437021215	-116.200446163583	-133.686290779092	-297.800099237626	-230.661437371677	-257.883085075466	-152.323518602397	-192.562921129937	-416.843142189268	-220.566609072454	-309.627401870419	-271.94648451463	-134.503961485494	-288.811837103172	-114.358312602151	-193.497048333194	-198.695013794113	-54.6558590392136	-88.3499884035101	-387.043592908666	-100.230785786018	-271.728926799284	-174.373825297318	-130.807736025856	-200.091462696472	-251.32338479346	-146.236868400646	-349.380121001394	-86.1850510086321	0	-62.1455512919345	-358.871649795053	-171.723710715734	-78.2155174590047	-107.440498179152	-198.507556620774	-129.853960781865	-249.411953116237	-105.440944640877	-332.941132252413	-208.979713989264	-56.7757682847448	-58.3475362552245	-82.3338683576673	-245.778050729642	-260.809152307887	-208.215706145313	-214.751611584529	-129.263583304753	-4.96700803493406	-118.933065237353	-207.843297684807	-141.133295706897	-40.758971444927	-85.709037336514	-173.024470456933	-138.95342360442	-161.008761294769	-287.52979961541	-288.125672384918
